epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
68,8561.98,0.69539,0.37554,0.03228,0.01256,0.95531,0.95599,0.98228,0.85309,0.55269,0.25106,0.03411,0.00811,0.000973625,0.000973625,0.000973625
69,8684.69,0.69455,0.37013,0.03347,0.01334,0.95919,0.95603,0.98212,0.85062,0.54315,0.2563,0.03569,0.00686,0.0009695,0.0009695,0.0009695
70,8807.63,0.6781,0.35479,0.03375,0.0121,0.96748,0.95191,0.98153,0.85498,0.53276,0.25055,0.03356,0.00555,0.000965375,0.000965375,0.000965375
71,8931.26,0.68928,0.37554,0.03325,0.01305,0.97175,0.94873,0.98278,0.85786,0.53379,0.24336,0.03379,0.00702,0.00096125,0.00096125,0.00096125
72,9055.07,0.69284,0.35853,0.0332,0.01338,0.95818,0.96112,0.98219,0.85315,0.54519,0.24614,0.03536,0.00701,0.000957125,0.000957125,0.000957125
73,9178.76,0.68088,0.35417,0.03309,0.01248,0.96365,0.9573,0.97961,0.85593,0.5403,0.24375,0.03338,0.00665,0.000953,0.000953,0.000953
74,9302.74,0.67765,0.34733,0.03279,0.01342,0.97858,0.93811,0.97897,0.85539,0.53505,0.24706,0.03361,0.00621,0.000948875,0.000948875,0.000948875
75,9426.34,0.68652,0.35433,0.03209,0.01205,0.96323,0.95916,0.98138,0.85569,0.53506,0.24432,0.03217,0.00572,0.00094475,0.00094475,0.00094475
76,9549.35,0.68125,0.35238,0.03159,0.01267,0.96428,0.95444,0.98214,0.8583,0.53562,0.24197,0.03181,0.00556,0.000940625,0.000940625,0.000940625
77,9673.23,0.67577,0.34908,0.0331,0.01133,0.97018,0.94854,0.98127,0.85845,0.52964,0.23782,0.03394,0.00588,0.0009365,0.0009365,0.0009365
78,9796.91,0.68119,0.3591,0.03191,0.01131,0.97382,0.94091,0.98052,0.86229,0.51882,0.24201,0.03311,0.00652,0.000932375,0.000932375,0.000932375
79,9921.33,0.68425,0.35746,0.03189,0.01261,0.96444,0.94865,0.97948,0.85023,0.55776,0.25962,0.03129,0.00682,0.00092825,0.00092825,0.00092825
80,10045.6,0.67394,0.35107,0.03176,0.01237,0.96854,0.95045,0.97864,0.85551,0.53473,0.24919,0.03293,0.00599,0.000924125,0.000924125,0.000924125
81,10168.8,0.67122,0.35179,0.03357,0.01173,0.96442,0.9505,0.98105,0.86208,0.52069,0.24603,0.03318,0.00509,0.00092,0.00092,0.00092
82,10293,0.66377,0.34028,0.03302,0.01141,0.97401,0.94469,0.98227,0.86089,0.52728,0.23833,0.03367,0.00472,0.000915875,0.000915875,0.000915875
83,10418,0.66529,0.34228,0.03163,0.01176,0.95895,0.95813,0.98071,0.85696,0.5291,0.24588,0.03308,0.00448,0.00091175,0.00091175,0.00091175
84,10546.9,0.66641,0.34733,0.03265,0.01085,0.96182,0.9541,0.97885,0.85872,0.52648,0.2427,0.03384,0.00573,0.000907625,0.000907625,0.000907625
85,10671.8,0.6693,0.3503,0.0329,0.01208,0.96026,0.95459,0.98091,0.85674,0.53718,0.24635,0.03458,0.00669,0.0009035,0.0009035,0.0009035
86,10796.3,0.6639,0.34322,0.03241,0.01201,0.95618,0.95859,0.98044,0.85608,0.529,0.24752,0.03347,0.0049,0.000899375,0.000899375,0.000899375
87,10919.6,0.66395,0.3525,0.03267,0.01126,0.95691,0.95155,0.979,0.85708,0.52489,0.24703,0.03487,0.00682,0.00089525,0.00089525,0.00089525
88,11042.6,0.66605,0.34975,0.03239,0.01133,0.97393,0.95427,0.98376,0.85923,0.53074,0.24891,0.03431,0.00513,0.000891125,0.000891125,0.000891125
89,11166.3,0.66456,0.35651,0.03307,0.01073,0.96296,0.96456,0.98276,0.85926,0.52803,0.23899,0.03406,0.00533,0.000887,0.000887,0.000887
90,11289.7,0.65399,0.3456,0.03126,0.01113,0.97409,0.94811,0.98461,0.85823,0.53795,0.23978,0.03281,0.00616,0.000882875,0.000882875,0.000882875
91,11413.1,0.66306,0.35166,0.03124,0.01199,0.96472,0.963,0.98278,0.86041,0.51528,0.23266,0.03396,0.00563,0.00087875,0.00087875,0.00087875
92,11536.7,0.6586,0.33702,0.03107,0.01159,0.97185,0.96106,0.98379,0.86222,0.51934,0.22884,0.0332,0.00791,0.000874625,0.000874625,0.000874625
93,11660.8,0.66984,0.35923,0.03196,0.01226,0.96904,0.94958,0.9818,0.86036,0.52635,0.24868,0.0339,0.00607,0.0008705,0.0008705,0.0008705
94,11783.3,0.64692,0.34244,0.03286,0.01132,0.97194,0.96068,0.98338,0.85956,0.525,0.22817,0.03313,0.00627,0.000866375,0.000866375,0.000866375
95,11907.2,0.66181,0.34039,0.03148,0.0105,0.96597,0.95754,0.98243,0.85773,0.5219,0.23925,0.03311,0.00466,0.00086225,0.00086225,0.00086225
96,12030.3,0.65884,0.34761,0.03193,0.01097,0.95613,0.96084,0.9797,0.85639,0.52814,0.24661,0.03082,0.00603,0.000858125,0.000858125,0.000858125
97,12154.4,0.66231,0.34106,0.03124,0.01141,0.96009,0.95282,0.98185,0.85824,0.52679,0.24763,0.03268,0.0073,0.000854,0.000854,0.000854
98,12278.4,0.66728,0.35562,0.0312,0.01258,0.96486,0.95234,0.98276,0.85681,0.53476,0.2463,0.03274,0.00739,0.000849875,0.000849875,0.000849875
